event_time,site_cam,session,path,modality,event_type,sensor_id,confidence,is_timelapse
2025-06-30 12:27:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122702_0060.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:28:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122801_0062.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:28:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122801_0063.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:28:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122802_0064.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:29:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122901_0066.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:29:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122901_0067.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:29:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122902_0068.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:30:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123001_0071.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:30:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123001_0070.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:30:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123002_0072.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:31:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123101_0075.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:31:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123101_0074.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:31:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123102_0076.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:32:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123201_0079.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:32:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123201_0078.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:32:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123202_0080.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:33:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123301_0082.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:33:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123301_0083.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:33:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123302_0084.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:34:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123401_0087.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:34:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630123401_0086.JPG,camera,camera_image,TW01-CT02,,False
