scenario,policy,camera_rate_per_hour,audio_rate_per_hour,camera_service_ms,audio_service_ms,cpu_util_percent,gpu_util_percent,aggregate_util_percent,single_node_feasibility,audio_conf_threshold
busy,adaptive,152.36249999999998,25.0,50.81098,19057.4863,13.23436548611111,0.21504688722916665,13.449412373340278,safe,0.7
busy,event_triggered,152.36249999999998,25.0,50.81098,19057.4863,13.23436548611111,0.21504688722916665,13.449412373340278,safe,0.7
busy,process_all,152.36249999999998,25.0,99.4921,19057.4863,13.23436548611111,0.42107958572916665,13.655445071840278,safe,0.7
nominal,adaptive,103.04454745443118,25.0,50.81098,19057.4863,13.23436548611111,0.14543873443933758,13.379804220550447,safe,0.7
nominal,event_triggered,103.04454745443118,25.0,50.81098,19057.4863,13.23436548611111,0.14543873443933758,13.379804220550447,safe,0.7
nominal,process_all,103.04454745443118,25.0,99.4921,19057.4863,13.23436548611111,0.284781067216417,13.519146553327527,safe,0.7
worst_case,adaptive,172.75,25.0,50.81098,19057.4863,13.23436548611111,0.24382213319444446,13.478187619305555,safe,0.7
worst_case,event_triggered,172.75,25.0,50.81098,19057.4863,13.23436548611111,0.24382213319444446,13.478187619305555,safe,0.7
worst_case,process_all,172.75,25.0,99.4921,19057.4863,13.23436548611111,0.4774238965277778,13.711789382638889,safe,0.7
