audio_path,top_species,top_confidence,top_start_time,top_end_time
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250701_204402.wav,Quiscalus quiscula_Common Grackle,0.8097476363182068,78.0,81.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250630_205902.wav,Geothlypis trichas_Common Yellowthroat,0.912765622138977,177.0,180.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250703_064402.wav,Colinus virginianus_Northern Bobwhite,0.32620033621788025,234.0,237.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250703_052902.wav,Turdus migratorius_American Robin,0.9453533291816711,153.0,156.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_212902.wav,Lithobates catesbeianus_American Bullfrog,0.5587735772132874,231.0,234.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250701_204402.wav,Quiscalus quiscula_Common Grackle,0.8097476363182068,78.0,81.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250630_205902.wav,Geothlypis trichas_Common Yellowthroat,0.912765622138977,177.0,180.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250703_064402.wav,Colinus virginianus_Northern Bobwhite,0.32620033621788025,234.0,237.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250703_052902.wav,Turdus migratorius_American Robin,0.9453533291816711,153.0,156.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_212902.wav,Lithobates catesbeianus_American Bullfrog,0.5587735772132874,231.0,234.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250701_204402.wav,Quiscalus quiscula_Common Grackle,0.8097476363182068,78.0,81.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250630_205902.wav,Geothlypis trichas_Common Yellowthroat,0.912765622138977,177.0,180.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250703_064402.wav,Colinus virginianus_Northern Bobwhite,0.32620033621788025,234.0,237.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250703_052902.wav,Turdus migratorius_American Robin,0.9453533291816711,153.0,156.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_212902.wav,Lithobates catesbeianus_American Bullfrog,0.5587735772132874,231.0,234.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250701_215402.wav,Lithobates catesbeianus_American Bullfrog,0.9514608383178711,111.0,114.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250701_201902.wav,Megaceryle alcyon_Belted Kingfisher,0.9134355187416077,3.0,6.0
thewilds_bioacousticmonitors_full/TW08-SM04/SD04_20250630_20250703/SM04_20250702_120000.wav,Ixobrychus exilis_Least Bittern,0.40329310297966003,246.0,249.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250701_064302.wav,Ardea alba_Great Egret,0.561771035194397,39.0,42.0
thewilds_bioacousticmonitors_full/TW06-SM03/SD03_20250630_20250703/SM03_20250703_140000.wav,Hirundo rustica_Barn Swallow,0.9951832890510559,108.0,111.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250630_211902.wav,Mimus polyglottos_Northern Mockingbird,0.868018388748169,258.0,261.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250630_211402.wav,Anhinga anhinga_Anhinga,0.5697371363639832,18.0,21.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250701_065802.wav,Ixobrychus exilis_Least Bittern,0.4332927465438843,168.0,171.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_211402.wav,Tyrannus tyrannus_Eastern Kingbird,0.9209362864494324,273.0,276.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_215402.wav,Charadrius vociferus_Killdeer,0.700360894203186,267.0,270.0
thewilds_bioacousticmonitors_full/TW08-SM04/SD04_20250630_20250703/SM04_20250701_150000.wav,Turdus migratorius_American Robin,0.7794374823570251,297.0,300.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250630_210402.wav,Platalea ajaja_Roseate Spoonbill,0.5943005681037903,42.0,45.0
thewilds_bioacousticmonitors_full/TW08-SM04/SD04_20250630_20250703/SM04_20250702_200000.wav,Sturnus vulgaris_European Starling,0.6486738920211792,6.0,9.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_202402.wav,Charadrius vociferus_Killdeer,0.8597166538238525,168.0,171.0
thewilds_bioacousticmonitors_full/TW08-SM04/SD04_20250630_20250703/SM04_20250703_100000.wav,Ixobrychus exilis_Least Bittern,0.7756639122962952,36.0,39.0
thewilds_bioacousticmonitors_full/TW06-SM03/SD03_20250630_20250703/SM03_20250703_120000.wav,Fireworks_Fireworks,0.45188263058662415,108.0,111.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_211902.wav,Haliaeetus leucocephalus_Bald Eagle,0.9997904896736145,33.0,36.0
thewilds_bioacousticmonitors_full/TW07-SM02/SD02_20250630_20250703/SM002_20250703_050400.wav,Sturnella magna_Eastern Meadowlark,0.9797207117080688,2637.0,2640.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250703_065402.wav,Turdus migratorius_American Robin,0.6404953002929688,30.0,33.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250630_201402.wav,Icteria virens_Yellow-breasted Chat,0.9810933470726013,9.0,12.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_054802.wav,Zenaida macroura_Mourning Dove,0.4364936947822571,51.0,54.0
thewilds_bioacousticmonitors_full/TW08-SM04/SD04_20250630_20250703/SM04_20250703_080000.wav,Turdus migratorius_American Robin,0.8470427989959717,126.0,129.0
thewilds_bioacousticmonitors_full/TW06-SM03/SD03_20250630_20250703/SM03_20250701_200000.wav,Passerculus sandwichensis_Savannah Sparrow,0.9320389628410339,102.0,105.0
thewilds_bioacousticmonitors_full/TW08-SM04/SD04_20250630_20250703/SM04_20250702_180000.wav,Icterus spurius_Orchard Oriole,0.5508858561515808,168.0,171.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_053802.wav,Tachyphonus coronatus_Ruby-crowned Tanager,0.5339511036872864,81.0,84.0
thewilds_bioacousticmonitors_full/TW05-SM01/SD01_20250630_20250703/SM001_20250702_210902.wav,Turdus migratorius_American Robin,0.9048240780830383,75.0,78.0
thewilds_bioacousticmonitors_full/TW06-SM03/SD03_20250630_20250703/SM03_20250701_180000.wav,Passerculus sandwichensis_Savannah Sparrow,0.8570347428321838,201.0,204.0
thewilds_bioacousticmonitors_full/TW08-SM04/SD04_20250630_20250703/SM04_20250703_110000.wav,Engine_Engine,0.9194900393486023,216.0,219.0
